구분,품목,권장 수량,메모
공통(주간),통곡물 식빵,1개(1/2 냉동),필요 시 토스트
공통(주간),닭가슴살,1.4–1.6 kg,"일요일 조리; 3–4일 냉장, 나머지 냉동"
공통(주간),통조림 생선(참치/정어리/고등어),3–4캔,개봉 후 유리용기 1–2일
공통(주간),두부(단단한 타입),2모,오픈 후 3–4일 내
공통(주간),병아리콩/렌틸,1–2팩,샐러드 토핑
공통(주간),냉동 에다마메(풋콩),400 g 1팩,사시미 날 단백질 보강(+100g/회)
공통(주간),그릭요거트(무가당),400–500 g 또는 125g×3–4컵,"월·목 오픈, 매일 80g (15:00)"
공통(주간),달걀,4–6개,일요일 삶기(껍질째)
공통(주간),샐러드믹스/잎채소,2–3통(총 500–800 g),월/목 나눠 개봉
공통(주간),채소(오이·파프리카·토마토·양파/적양파),5–7개,샌드/샐러드 공용
공통(주간),아보카도,2–3개,숙성 단계 섞기
공통(주간),과일,6–8회분,요거트 토핑용
공통(주간),견과·씨앗,소분(10–15 g),호두/아몬드/피스타치오/치아
공통(주간),올리브오일·발사믹·머스터드·레몬/라임,적당량,드레싱 2종 제조
공통(주간),전해질(나트륨),500–1000 mg/훈련 아침,물에 타서 섭취
빵/곡물(선택),통곡 또띠야,1팩(6–8장),두부 랩/샌드 대체
채소 보강,셀러리,1–2대,참치 샌드
채소 보강,양송이/버섯,1–2팩,고등어&버섯 샐러드
샌드·샐러드 토핑,케이퍼(병),1병(30–50 g),훈제연어/요거트 소스
샌드·샐러드 토핑,올리브(그린/블랙),1병,그릭/고등어 토마토
허브,딜(생) 또는 건조,소량,연어/요거트 소스
허브,바질(생) 또는 건조,소량,바질 페스토/샌드
허브,파슬리(생) 또는 건조,소량,에그 샌드
향신,오레가노(건조),1병,그릭 샐러드
유제품(선택),페타치즈,100–150 g,그릭 샐러드
유제품(선택),파르메산 치즈,30–50 g,시저 샐러드
델리(선택),허머스,1통(200–250 g),허머스·치킨 샌드
해조/건어물(선택),미역(건조),1봉(소),연어 포케
소스/양념,간장(저염 권장),1병,폰즈 대체/포케
소스/양념(선택),폰즈,1병,사시미 샐러드
소스/양념,참기름,1병,포케 드레싱
소스/양념(선택),앤초비,1캔,요거트 시저 드레싱 옵션
냉동(선택),완두콩/그린빈,1팩(300–400 g),니수아즈용
곡물(선택),현미,1–2회분,포케 옵션
연어 주간(1·3주),"연어(사시미용, 급속냉동)",300–400 g/주(또는 1 kg 소분),개봉 당일 섭취(익일 점심까지만)
연어 주간(1·3주/선택),훈제연어,200 g,화 오픈→목까지 소비
허브/채소(선택),루콜라(선택),1팩(100–150 g),치킨 아보카도/정어리 오픈샌드에 사용
허브/채소(선택),로메인(선택),1통(1–2개),닭+로메인 시저용
채소 보강,양배추,1/4통,두부 스테이크 랩용
채소 보강,당근,1–2개,두부 스테이크 랩용
채소 보강(선택),단호박,1/4–1/2통,병아리콩&단호박 샐러드
향신(선택),커민 가루,1병(소),병아리콩&단호박 드레싱
델리(선택),바질 페스토(시판),1병(190–200 g),닭가슴 바질페스토 샌드
유제품(선택),코티지치즈,200 g,훈제연어/샐러드 토핑 옵션
소스/양념(선택),타히니(참깨 페이스트),1병(200–300 g),두부 타히니 샐러드/드레싱
